classlabel,content
4,आईओसी पेट्रोलियम पदार्थ आपूर्ति घटायोभारतीय आयल निगम आईओसी शुक्रबार पेट्रोलियम पदार्थ आपूर्ति भारी कटौती गरे आयल निगम बक्यौता तिर्न नसके आईओसी उक्त कटौती गरे भारतीय आयल निगम आईओसी शुक्रबार पेट्रोलियम पदार्थ आपूर्ति भारी कटौती गरे आयल निगम बक्यौता तिर्न नसके आईओसी उक्त कटौती गरे निगम कामु कार्यकारी निर्देशक सुरशेकुमार अग्रवाल पेट्रोलियम पदार्थ कटौती स्विकारे सरकार दिने निर्णय गरे रकम दिएर सहज आपूर्ति सकिँदैन उन मूल्य बढाउन महिना लागत राखेर सरकार भन्सार भ्याट छुट दिनुपर्छ गरे चौथो महिना निगम आत्मनिर् उन दाबी करिब अर्ब करोड रुपैयाँ बक्यौता पुगे आईओसी आपूर्ति कटौती गरे आईओसी शुक्रबार रक्सौल डिपो बाट निगम सय किलोलिटर पेट्रोलियम पदार्थ दिन थाले कटौती करिब प्रतिशत उक्त डिपो बाट निगम दैनिक हजार सय हजार सय किलोलिटर प्रट्रोलियम पदार्थ पाउँदै आईओसी निगम पेट्रोलियम पदार्थ दिने नजिक डिपो आईओसी बाट रक्सौल डिपो कै हाराहारी आपूर्ति कटौती निगम स्रोत भन्यो वाणिज्य आपूर्ति मन्त्रालय सचिव लालमणि जोशी सरकार पैसा नदिए सहज आपूर्ति नसक्ने बताए पैसा दिनु पर्यो मूल्य बढाउन दिनु पर्यो सचिव जोशी नभए सहज आपूर्ति सकिन्न सरकार गत चैत गते निगम अर्ब करोड रुपैयाँ ऋण दिने निर्णय गरे त्यस महिना बित्नै लाग्दा उक्त रकम नपाए निगम थप संकट परे सचिव जोशी सरकार निर्णय रकम नदिए गुनासो गरे सचिव जोशी निगम सञ्चालक समिति अध्यक्ष अर्थ मन्त्रालय करोड रुपैयाँ दिन्छु करिब करोड रुपैयाँ दियो अग्रवाल भनाइ कर्मचारी सञ्चय कोष नागरिक लगानी कोष बाट पैसा पाए छैनौं निगम निकाय प्रक्रिया भन्दै पैसा दिन आलटाल गरे आरोप लगाए नदिने भन्नु पर्यो निगम स्रोत भन्यो होइन महिना प्रक्रिया मन्त्रिपरिषद् पैसा दिने निर्णय गरे निगम अधिकारी हरूले आईओसी कटौती नगर्न आग्रह गरे त्यस महिना पैसा नपाए आईओसी पेट्रोलियम पदार्थ कटौती बाध्य निगम भनाइ आईओसी अधिकारी हरूले बक्यौता उत्तर दिनुपर्छ निगम उच्च अधिकारी कटौती स्वाभाविक पटकपटक डिजेल अभाव राष्ट्रिय महत्त्व परियोजना समेत प्रभावित बन्दै जलविद्युत् आयोजना वषर्ा लाग्नु अघि आवश्यक पर्ने डिजेल भण्डारण नसके काम नसकिने जानकारी सार्वजनिक सूचना प्रकाशित गरेरै अर्थ मन्त्रालय निगम पैसा कर छुट दिन नसक्ने बताउँदै राजनीतिक हस्तक्षेप कारण लागत महँगो परे सस्तो बेच्नुपरे कारण निगम घाटा आईओसी मूल्य सूची निगम हाल डिजेल मासिक करोड लाख रुपैयाँ खाना पकाउने ग्यास करोड लाख रुपैयाँ घाटा कच्चा पेट्रोलियम पदार्थ अन्तर्राष्ट्रिय बजार मूल्य भारी गिरावट निगम उक्त रकम घाटा अघि डिजेल ग्यास मासिक घाटा झन्डै अर्ब रुपैयाँ पुगे निगम स्रोत भन्यो अन्तर्राष्ट्रिय बजार कच्चा तेल मूल्य प्रतिब्यारेल डलर झरे मासिक घाटा करोड लाख रुपैयाँ झरे निगम जनाए कच्चा तेल मूल्य घटे डलर आकासिए कारण अपेक्षाकृत मूल्य कमी नआए निगम जिकिर सरकार सस्तो बेचेबापत निगम अनुदान दिँदैन त्यसकारण सस्तो बेचेबापत रकम संस्थान घाटा सहेर बेहोर्नुपर्छ त्यसबापत हाल निगम ऋण अर्ब करोड लाख रुपैयाँ त्यसबापत निगम वाषिर्क अर्ब करोड लाख रुपैयाँ ब्याज तिर्छ ब्याज रकम तिर्न निगम प्रतिलिटर पेट्रोलियम पदार्थ उपभोक्ता सँग रुपैयाँ पैसा उठाउँछ
4,पहाडी जिल्ला आपूर्ति बन्दजिविस ठेकेदार आयातित कृषिजन्य वस्तु जबरजस्ती निकासी कर असुले भन्दै व्यापारी पूर्वी पहाडी जिल्ला दैनिक उपभोग्य वस्तु आपूर्ति बन्द गरे सुनसरी कर लागू गरिए जिविस ठेकेदार आयातित कृषिजन्य वस्तु जबरजस्ती निकासी कर असुले भन्दै व्यापारी पूर्वी पहाडी जिल्ला दैनिक उपभोग्य वस्तु आपूर्ति बन्द गरे सुनसरी कर लागू गरिए भेडेटार ढाट सञ्चालन सुनसरी जिविस ठेकेदार कोसी राजमार्ग हुँदै पहाडी जिल्ला अपूर्ति आयातित खाद्यान्न लगायत दैनिक कृषिज्ान्य उपभोग्य वस्तु जबरजस्ती निकासी कर लगाए डिलर थोक व्यवासायी संघ आरोप भेडेटार हुँदै पहाडी जिल्ला जाने खाद्यान्न लगायत वस्तु आपूर्ति बन्द गरिए मंगलबार दिन पुगे विवाद नसुल्भिए पहाडी जिल्ला उपभोग्य वस्तु अभाव सिर्जना संघ अध्यक्ष माणिक सुराना जिल्ला उत्पादित वस्तु निकासी कर लगाउन पाइने नियम विपरीत ठेकेदार आयातित वस्तु जबरजस्ती रकम असुल्न थालका जिविस जानकारी दिएर आपूर्ति ठप्प गरिए उन सुनसरी निकासी परिमाण वस्तु नभएका अघि कर ठेक्का लगाए कर ठेकेदार जानकारी गराउन जिविस ज्ञापनपत्र दिँदा सुनुवाइ नभए उन बताए निमित्त स्थानीय विकास अधिकारी मनोजकुमार सुनुवार थोक व्यवसायी हरूको गुनासो सुनुवाइ गरिए दाबी गरे जिविस ठेकेदार निकासी कर कबुलियतना गराउँदै खुलाइए बताउँदै उन व्यवसायी गुनासो समझदारी कायम दुवै पक्ष राखेर छलफल समेत गरिए उन व्यापारी आयातित वस्तु प्रमाण पेस भनिए बताए
0,﻿राजविराज २७ फागुन सप्तरी मलेठ गाउँ विकास समिति स्थित राजविराज–रुपनी सडकखण्ड विहीवार राती यात्रुवाहक बस आगजनी गरिए संयुक्त लोकतान्त्रिक मधेशी मोर्चा कार्य कर्ता आक्रोशित स्थानीयवासिन्दा वीरगञ्ज बाट राजविराज तर्फ आउँदैगरे ना. ५ ख ६७१३ नम्वर स्वस्ति डिलक्स बस आगजनी गरे विरगञ्ज बाट करिब सय लिटर पेट्रोल सय पचास लिटर डिजल समेत बोके उक्त गाडी बाट यात्रु हरुलाई ओरालेर आगजनी गरे जनाईए आगजनी बाट उक्त बस सम्पूर्ण भाग जलेर पूर्ण रुप नष्ट बन्द अवज्ञा पेट्रोल डिजेल तस्करी गरिए पाईएको आगजनी गरिए संयुक्त लोकतान्त्रिक मधेशी मोर्चा सप्तरी जनाए
3,सफ्टवेयर बाट भविष्यवाणीभाग्य विश्वास उत्तर एस वा नो दिने बराबर होला भाग्य विश्वास छँदैछन् नगर्ने समेत बिहान टेलिभिजन रेडियो वा पत्रपत्रिका प्रसारणप्रकाशन राशिफल अवश्य आँखा कान लगाउनुहोला भाग्य विश्वास उत्तर एस वा नो दिने बराबर होला भाग्य विश्वास छँदैछन् नगर्ने समेत बिहान टेलिभिजन रेडियो वा पत्रपत्रिका प्रसारणप्रकाशन राशिफल अवश्य आँखा कान लगाउनुहोला राजधानी चाबहिल बस्ने टु अध्ययनरत रमेश जन्मँदै लिएर भाग्य विश्वास उन मोबाइल हाम्रो पात्रो मोबाइल एप डाउनलोड गरे त्यस बिहान ओछ्यान मै उन आज राशिफल नोटिफिकेसन उपलब्ध गराउँछ तपाईं दिन दिन मुड फ्रेस उन सुनाए बाधा अड्चन चिन्ता बिछोड हानि खर्च बढ्ने जस्ता तथ्य राशि दिन टेन्सनै ज्योतिष ग्रह नक्षत्र अवस्थिति स्थान गणना भविष्यवाणी गर्छन् सम्बन्ध अध्यात्म सँग ज्योतिष हरूलाई उनी हरूको व्यवसाय सघाए प्रविधि अहिले ज्योतिष हरू घडी पला लग्न राशि ग्रह चक्र गणना धुलौटो कोरेर बस्दैनन् उनी हरू कापीकलम लिएर दिमाग खियाउँछन् साता दिन बढी लाग्ने ज्योतिष गणना पद्धति सफ्टवेयर क्षण मै हल गरिदिन्छ ज्योतिषाचार्य लक्ष्मीप्रसाद बराल टेलिभिजन रेडियो दैनिक राशिफल उनी ल्यापटप प्रयोग व्यक्ति चिना टिप्पन बनाउँछन् त्यसै आधार उनी व्यक्ति भविष्य बताउँछन् उन प्रयोग सफ्टवेयर स्काई भिजन कागज कोरेर गणना गर्दा फल नआउन सक्थ्यो उन सफ्टवेयर बाट गणना गर्दा यथार्थ भविष्यवाणी सकिन्छ ज्योतिष हरूले ग्रह गणना पद्धति सफ्टवेयर भारतीय प्रयोग गरे नेपाल मै सफ्टवेयर डेभलपर सुदर्शन पौडेल डेभलप गरे स्काई भिजन अहिले ज्योतिष हरूबीच चल्ती सफ्टवेयर गणितीय रिपोर्ट तयार पौडेल त्यस ज्योतिष त्यस तथ्यांक विश्लेषण भविष्यवाणी गर्छन् उन पिता लोकराज ज्योतिष पिता कै निर्देशन वर्ष ज्योतिष विद्या अध्ययन स्काई भिजन डेभलप गरे सुदर्शन बताए उन सफ्टवेयर डेभलप गरे वर्ष भयो उन अपग्रेड थर्ड भर्सन बजार ल्याए उन ज्योतिष व्यवसाय हरूलाई लाइट भर्सन हजार प्रोफेसनल प्रिमियम भर्सन हजार रुपैयाँ उपलब्ध गराउँछन् पञ्चाङ्ग निर्णायक समिति सदस्यसचिव सूर्य ढुंगेल सूर्य सिद्धान्त आधारित रहेर ज्योतिष हरूलाई चिना टिप्पन बनाउन उपयोगी पञ्चाङ्ग कुन्डली डेभलप गरे जना इन्जिनियर सँग मिलेर गरे सफ्टवेयर व्यक्ति जन्ममिति स्थान इन्ट्री गरे चिना आवश्यक सम्पूर्ण तथ्य उपलब्ध ढुंगेल दाबी पात्रो मुलुकभर एकै प्रकार त्यस गणना गर्दा ठाउँ ग्रह अवस्थिति देखाउँछ उन सफ्टवेयर ठाउँअनुसार छुट्टाछुट्टै अवस्थिति देखाउने हुना गणना विधि त्यसै तथ्यपरक भविष्यवाणी सकिन्छ सफ्टवेयर काम थाले ज्योतिष हरूलाई निकै सजिलो घन्टौं घोत्लिएर दिमाग खियाउनु पर्ने उनी हरू अहिले कम्प्युटर पर्न थाले मिति स्थान अक्षांश देशान्तर लगायतका तथ्य इन्ट्री गराए कै भविष्य आफैं हेर्न सकिने सफ्टवेयर बजार भारतीय सफ्टवेयर एस्ट्रोभिजन लगायतका सफ्टवेयर सित्तै कम्प्युटर डाउनलोड सकिन्छ मोबाइल समेत आजकल एप्स राशिफल उपलब्ध गराउन थाले हाम्रो पात्रो डेभलपर शंकर उप्रेती व्यक्ति उठ्ना दिन कस्तो होला भनेर राशिफल हेर्न खोज्ने प्रवृत्ति पाए बताउँछन् त्यसै उन मोबाइल एप एकाबिहानै राशिफल नोटिफिकेसन आउने व्यवस्था मिलाए उन जना ज्योतिष सहयोग राशिफल उपलब्ध गराउँछन् दिन मोबाइल राशिफल नआए युजर गुनासो आइहाल्छ उन मोबाइल मै राशि उपलब्ध गराउने छुट्टै नेपाली एप राशि दर्पण साता महिना वर्षभर राशिफल सहित पञ्चाङ्ग समेत उपलब्ध नेपाली हैन पश्चिमी मुलुक बासिन्दा एस्ट्रोलोजी त्यति कै विश्वास गर्छन् गुगल एप स्टोर मात्रै द ट्रु हिरोस्कोप एस्ट्रोसागा योरसेल्फ कुन्डली सफ्टवेयर हिन्दी एस्ट्रोलोजी ज्योतिष शास्त्र होरोसफ्ट हिन्दु एस्ट्रोलोजी फ्री एस्ट्रोलोजी लगायतका सयौं एप्स उपलब्ध नेपाल अनिस्ट परे निर्णय लिनुपर्दा अध्ययन विदेश यात्रा विवाह जागिर बुझ्न ज्योतिष धाउने हरू ज्योतिषाचार्य बराल कतिपय वर्ष बित्छ भनेर वर्ष ज्योतिष देखाउँछन् सफ्टवेयर बाट भविष्यवाणी थाले ज्योतिष विद्या सर्वसाधारण विश्वास अझ बढे बराल दाबी
4,सिस्नो ढिंडो खाने सम्पन्नराजधानी निजी स्कुल गरिए पोषण सर्वेक्षण प्रतिशत बालबालिका विश्व स्वास्थ्य संगठन डब्लुएचओ निर्धारण गरे उचाइ तौल नभए देखाए राजधानी निजी स्कुल गरिए पोषण सर्वेक्षण प्रतिशत बालबालिका विश्व स्वास्थ्य संगठन डब्लुएचओ निर्धारण गरे उचाइ तौल नभए देखाए खाद्य प्राविधिक हरूको संस्था खाद्य पोषण सचेतना केन्द्र फोन्याक गरे तीनमहिने अनुसन्धान उच्च मध्यम वर्गीय परिवार बालबालिका उमेर कम तौल रहे फेला पारे फोन्याक तर्फ बाट अनुसन्धान संलग्न खाद्य वैज्ञानिक अध्यक्ष हरिहर गुरागाई उपत्यका सय स्कुल सय विद्यार्थी पोषण सर्वेक्षण अनुसन्धान गरिए कम तौल हुनु प्रकार कुपोषण शारीरिक मानसिक विकास बाधा पुर्याउँछ कुपोषण खोजी कणर्ाली जानुपर्दैन राजधानी मै शुक्रबार राजधानी वर्ष आयोजना गरिए खाद्य सम्मेलन गुरागाई सहर मानिस शिक्षित पोषण शिक्षा विश्व स्वास्थ्य संगठन मापदण्ड गरिए अनुसन्धान हुकर्ंदै गरे अधिकांश बालबालिका तौल उमेर कम फेला पारे अनुसन्धान केटी दाँजो केटा हरूमा बढी कम तौल भेटे जर्नल प्रकाशित भई नसके उन अनुसन्धान राजधानी नदी किनारा रहे सुकुम् बासी बस्ती बालबालिका कुपोषण अत्यधिक न्यून रहे फेला पारे अनुसन्धान प्रतिवेदन भनिए बालबालिका हरू घर तयार पारिए सन्तुलित खानेकुरा दाँजो बढी विज्ञापन प्रशोधित आयातित खानेकुरा रुचि राख्नु खाद्यवस्तु कारण सृजना गर कम तौल उनी हरूको मानसिक विकास असर परे ध्यान पूर्वक पढ्न नसक्ने गरे पत्ता लागेे हुनेखाने परिवार बालबालिका हरूको अत्यधिक रुचि जंक स्पाइसी स्टि्रट खानेकुरा रहे राष्ट्रिय योजना आयोग उपाध्यक्ष दीपेन्द्र क्षेत्री नेपाल खान नपाएर खान नजानेर स्वास्थ्य बिगारि विश्व स्वास्थ्य संगठन नेपाली हजार सय क्यालोरी चाहिने बताए नेपाल सन्तुलन कायम राख्न तौलेर खाना खाँदा पखाला लाग्ने खान्छन् नेपाली खानपान बानी सुधार नभए इंगित उपाध्यक्ष क्षेत्री वास्तव सिस्नो ढिंडो खाने परिवार सम्पन्न भात दाँजो सन्तुलित कोदो ढिंडो उल्लेख उन हिजोआज कोदो फापर ढिंडो साखिनी कुखुरा पाइने सहरी रेस्टुरेन्ट उपभोक्ता लाइन बस्ने गरे उन बताए
2,पर्यटन सँगै कलाकारितायहाँ दीपक अधिकारी बाल्यकाल अभिनय रुचि अभिनय अवसर जुरे पुर्ख्यौली पेसा पर्यटन व्यवसाय दीपक अधिकारी बाल्यकाल अभिनय रुचि अभिनय अवसर जुरे पुर्ख्यौली पेसा पर्यटन व्यवसाय उन होटल व्यवसाय फिल्म खेल्ने सौख पूरा भन्दै सोचिरहन्थे ढुंगा खोज्दा देउता मिल्नु उखान उन जीवन चरितार्थ भयो व्यवसाय सिलसिला काठमाडौं पुगे दीपक चलचित्र निर्देशक रेशराज आचार्य सँग भेट भयो त्यस दीपक फिल्मप्रति रुचि दर्शाइहा रेशराज सानै रोल चलचित्र तिलहरी अभिनय मौका साल निर्माण गरिए उक्त चलचित्र दीपक नायक भुवन केसी कलेज साथी बनेर अभिनय गरे रेशराज निर्देशन गरे उक्त चलचित्र अभिनय गरे सँगै दीपक फिल्म खेल्ने बाटो खुल्यो फिल्म अभिनय भ्याईनभ्याई अवस्था समेत मौका दिने रेशराज गुरु दीपक सम्झछन् वर्ष उमरे फिल्म क्षेत्र लागे उन बढी ठूलो पर्दा चलचित्र सकेका त्यस्तै नेपाल टेलिभिजन बाट प्रसारण चर्चित टेलिफिल्म भोजपुरी फिल्म समेत उन उपस्थिति अर्थ पूर्ण कलाकारिता बाट बाँच्न नसकिने भएका दीपक पेसा होटल व्यवसाय प्राथमिकता राख्छन् पहिला फिल्म अभिनय फिल्म बनाउने मान्छे खोज्दै हिँड्नुपथ्र्यो उन अतीत सम्झँदै अहिले नाम चले निर्देशक आफैं अभिनय फोन सम्झने गर्नुहुन्छ उनी फिल्म सुटिङ क्रम कहिले मुस्ताङ हुन्छन् कहिले विराटनगर उन अभिनय गरे चलचित्र भेटी अहिले देश प्रदर्शन दौड त्यस उन रोल सानै गहकिलो उनी जागिर दिने कम्पनी मालिक प्रस्तुत उन अभिनय गरे ढुवानी प्रदर्शन संघार उनी चलचित्र रोल पाए अभिनय तयार हुन्छन् फिल्म यही अभिनय भनेर लागे होइन उन दर्शक मन जित्ने रोल पाए अभिनय सक्छु उन फिल्म अभिनय गरे बापत् पारिश्रमिक पाउँछन् उनी पकेट खर्च यसै बाट जुटाउँछन् परिवार श्रीमती छोराछोरी परिवार होटल व्यवसाय बाट चले उन अघि खलपात्र अभिनय गरे चलचित्र मायाज बार राम्रै सफलता पायो उनी अधिकांश अभिनय मै व्यस्त बन्छन् महिना वटा फिल्म अभिनय भ्याउँछन् दीपक अधिकांश नेपाली फिल्म भिडियो सौराह छायांकन हुन्छन् छायांकन आउने प्रायः कलाकार उनी निकट रहेर सहयोग लिन्छन् उन तिलहरी माटो बोल्छ बन्धन माउते दाइ सुन्दर नाम किस्मत कुसुमे रुमाल मायाज बार अन्दाज लगायत फिल्म अभिनय सकेका भोजपुरी इ रिस्ता अनमोल बा मैया राखिके लाज राखिल समेत अभिनय गरे दीपक नेवारी फिल्म ओ मिसा खेले
3,कार्लोस जुकरबर्ग इन्टरनेट अर्बौं खर्चिने फेसबुक संस्थापक मार्क जुकरबर्ग विश्व रहे इन्टरनेट सेवा पुर्‍याउन अर्बौं खर्चने गत साता मेक्सिकन टाइकुन कार्लोस स्लिम आयोजना गरे कार्यक्रम हजारौं युवा सहभागी माझ जुकरबर्ग बताए फेसबुक संस्थापक मार्क जुकरबर्ग विश्व रहे इन्टरनेट सेवा पुर्याउन अर्बौं खर्चने गत साता मेक्सिकन टाइकुन कार्लोस स्लिम आयोजना गरे कार्यक्रम हजारौं युवा सहभागी माझ जुकरबर्ग बताए कार्लोस हजार युवा छात्रवृत्ति प्रदान घोषणा गरे दुवै आआफ्नो क्षेत्र सफलता हात पारे त्यस्तै फोब्र्स अर्बपति सूची दुवै नाम विश्व मान्छे अर्का सँग जोडिऊन् फेसबुक आगामी दशक अर्बौं डलर खर्च गर्नेछ जुकरबर्ग विश्वास योजना दीर्घकालीन हुनेछ हाम्रा होइन कार्लोस कम्पनी टेलमेक्स फाउन्डेसन सहयोग गर्नेछ टेलमेक्स मेक्सिको ठूलो इन्टरनेट मोबाइल सेवा प्रदायक कम्पनी जुकरवर्ग मेक्सिको करोड मानिस इन्टरनेट त्यसै चरण मेक्सिकको सँग सहकार्य फेसबुक इन्टरनेट डट ओआरजी आयोजना द्वारा करोड मेक्सिकन इन्टरनेट पहँुच पुर्याइने फोब्र्स लेखे इन्टरनेट डट ओआरजी फेसबुक जस अपि एसिया ल्याटिन अमेरिका अर्बौं मान्छे अर्का सँग जोडे गत वर्ष सुरु गरे सँग इन्टरनेट त्यस व्यवसाय आर्थिक स्थिति सुधार्दै लाने भएका जुकरबर्ग काम लागे विश्व करोड लाख फेसबुक पेज व्यवसयी ग्राहक जोडे तथ्यांक उन सार्वजनिक गरे जुकरबर्ग विश्व धनी व्यक्ति पर्छन् फोब्र्स जुकरबर्ग सम्पत्ति अर्ब करोड अमेरि की डलर मेक्सिको इन्टरनेट विस्तार राष्ट्रपति सँग उन सकेका काम हामी सम्झौता त्यस निकै उत्साहित जुकरबर्ग काम सन् सुरु मै थालनी बताइए माइक्रोसफ्ट संस्थापक बिल गेट्स रोलमोडल मान्ने जुकरबर्ग स्थानान्तरण युवा हरूले आवश्यक कागजपत्र अभाव कलेज पढ्न नपाउने सहयोग समेत योजना बताए नागरिक अधिकार हनन नदिन हाल अमेरि की इमिग्रेसन प्रणाली उन कडा विरोध उन मेक्सिको समेत बताए कारणस्वरूप अमेरि की सिनेट संसद हरूले गएर अमेरि की प्रणाली विरोध नभए भन्दै जुकरबर्ग सँग रुष्ट सन् जुकरबर्ग हावर्ड विश्वविद्यालय हुँदा उन कलेज कोठा सँगै बस्ने साथीह माझ फेसबुक सुरु गरे वेबसाइट सुरु हावर्ड विश्वविद्यालय विद्यार्थीहरू माझ सीमित रहे बोस्टन क्षेत्र आईबी लिग स्टेनफोर्ड विश्वविद्यालय फैलाइए सन् उन फेसबुक पेज विश्वव्यापी जुकरबर्ग सन् सेप्टेम्बर स्टार्ट अप एजुकेसन फाउन्डेसन खडा गरे द्वारा सरकारी विद्यालय विद्यार्थी आर्थिक सहयोग प्रदान गत वर्ष उन फेसबुक करोड लाख सेयर सिलिकन भ्याली कम्युनिटी फाउन्डेसन सहयोगस्वरूप उपलब्ध गराए जस कुल मूल्य करोड अमेरि की डलर आउँछ सहयोग ठूलो च्यारिटिएबल सहयोग रह्यो स्रोत एजेन्सी
2,राहत प्याकेज आउँदै छमुख्य निर्माण वितरण प्रदर्शन सवाल अहिले स्थिति अनुगमन गर्दा निकै अराजकता बढि पाइयो माग आपूर्ति बीचको सन्तुलन मिलिराख्या निर्माण वितरण मनोमानी बढ्दो चलचित्र विकास बोर्ड अध्यक्ष गणेश भण्डारी गरिए कुराकानी कस्तो प्रकृति राहत प्याकेज ल्याउँदै हुनुहुन्छ निर्माण वितरण प्रदर्शन सवाल अहिले स्थिति अनुगमन गर्दा निकै अराजकता बढि पाइयो माग आपूर्ति बीचको सन्तुलन मिलिराख्या निर्माण वितरण मनोमानी बढ्दो फिल्म नबन्नु ठाउँ होला दर्शक फिल्म पुर्याउने मेकानिज्म मै समस्या फिल्म सम्बद्ध संघसंस्था साथी हरूसँग बसेर साझा निचोड निकाले त्यसै आधार फिल्म क्षेत्र राहत पुर्याउने प्याकेज कार्यक्रम तयारी भइ त्यस केके हुन्छन् आचार संहितासहित प्याकेज फिल्म निर्माण व्यवस्थित योजना अहिले जसरी चारपाँच लाख लिने मुर्गा बनाएर फिल्म बनाउने प्रवृत्ति बढ्दै आचार संहिता त्यस निरुत्साहन गर्नेछ फिल्म बनाउने खास निर्माता प्रोत्साहन गर्नेछ हप्ता तीनचार फिल्म जुधाउने समस्या नियमन हल हरूको समस्या देश सञ्चालन रहे अहिले चलाउन नसकेर गोदाम भइ हल हरूलाई चलाउन सरकार अनुदान व्यव्ास्था तयारी भइ भयो नेपाली फिल्म दर्शक माझ सुलभ तरिका पुग्न व्यवसायी हरूलाई राहत पुग्छ साथी हरू सम्बद्ध संघसंस्था अहिले समस्या क्यू सिस्टम अघि सार्नुभए क्यू सिस्टम गर्दा फिल्म हल लाग्न चारपाँच वर्ष लाग्ने दर्शक माझ आइपुग्दा पुरानो हुँदो रहेछ सिस्टम खारेज हुँदै क्यू सिस्टम तपाईं कै अघिल्लो कार्यकाल लागू हैन त्यति बेला साथी हरूले फिल्म प्रदर्शन संयन्त्र व्यवस्थित पार्न क्यू सिस्टम उपयोगी भन्नुभो अलिक अव्यावहारिक ठहर हुना ढंग लागे हौं स्टेक होल्डर हरूसँगको छलफल बाटै निचोड एका क्यू सिस्टम हटाउँदै हुनुहुन्छ हप्ता फिल्म रिलिज रोक्दै हुनुहुन्छ घुमाउरो तरिका बाट फिल्म निर्माण हतोत्साहित तुल्याउँदैन फिल्म बन्नु गुणस्तर बन्नु हैन संख्या मात्रै बढाएर नेपाली फिल्म सुधार आउँदैन बोर्ड फिल्म निर्माण प्रक्रिया जटिल पारेर हतोत्साहित बनाउने झन् सोच्नै सकिन्न बोर्ड हमेसा प्रोत्साहन सवाल संख्या मात्रै बढाएर फिल्म क्षेत्र गुणात्मक फड्को मार्न सक्दैन योजना आउँदै खास प्रकृति फिल्म सरकार लगानी योजना बन्दै टोटल लगानी नहुन सरकार नमुनास्वरूप खासखास फिल्म लगानी योजना बनि खास फिल्म भन्ना नेपाली मौलिकता झल्किने कथावस्तु विविधीकरण सम्मान राष्ट्रिय संस्कृति निर्माण प्रकृति फिल्म निश्चित मापदण्ड बनाइनेछ कहिले घोषणा हुँदै राहत प्याकेज अहिले अर्थ मन्त्रालय पुगे सञ्चार मन्त्रालय हुँदै चलचित्र विकास बोर्ड आइपुगे कार्यान्वयन जान्छ बोर्ड स्वायत्त बनाउने योजनाचाहिँ हुँदै काम भइ कानुन मन्त्रालय हुँदै अहिले अर्थ पुगे स्वायत्त कर्मचारी सेवा सुविधा अर्थ टुंग्याए सञ्चार मन्त्रालय हुँदै विधेयक संसद् जानेछ
2,कमाई साहरुख सलमान टक्करभारतीय सेलिब्रेटी मध्ये आम्दानी लोकपि्रयता साहरुख खान नम्बर परे धनी तथ्यांक राख्दै लोकिपि्रयता कमाए अंग्रेजी पत्रिका फोब्र्स निकाले भारतीय सेलिब्रेटी सूची खान नम्बर भारतीय सेलिब्रेटी मध्ये आम्दानी लोकपि्रयता साहरुख खान नम्बर परे धनी तथ्यांक राख्दै लोकिपि्रयता कमाए अंग्रेजी पत्रिका फोब्र्स निकाले भारतीय सेलिब्रेटी सूची खान नम्बर अहिले चर्चित भनिए दबंग स्टार सलमान खान भारतीय क्रिकेट टोली कप्तान महेन्द्र सिंह धोनी साहरुख पछाडि राखिदा चित्त बुझे छैन् सा हरुले खान फिल्म सहित बिभिन्न कम्पनी बिज्ञापन एम्बेसडर रुप काम गर्दा लोकपि्रयता आम्दानी बढी फोब्र्स दाबी फोब्र्स सन् अक्टोबर सन् सेप्टेम्बर सेलिब्रेटी गरे आम्दानी आधार मान्दै सूची सार्वजनिक गरे साहरुख अवधी दुईसय करोड बढी भारु आम्दानी गरे फेाब्र्स जनाए फोब्र्स भारतीय खेलाडि कलाकार लेखक संगीतकार छुट्टछुट्टै सूृची सार्वजनिक गरे सूची उनी हरुको आम्दानी सञ्चार माध्यम सोसियल मिडिया उनी हरुको उपस्थिति आधार मानिए पत्रिका जनाए
